entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
CMX Brickell City Centre,Miami,33130,701,South Miami Avenue,Florida,"701 South Miami Avenue, Miami, FL 33130, United States of America",-80.1930845,25.767149
Miami Lecture Hall,Miami,33131,,Riverwalk,Florida,"Riverwalk, Miami, FL 33131, United States of America",-80.1910457,25.7705708
Ashe Auditorium,Miami,33131,,Southeast 4th Street,Florida,"Southeast 4th Street, Miami, FL 33131, United States of America",-80.1907263,25.7709597
James L. Knight Center Theater,Miami,33131,,Southeast 4th Street,Florida,"Southeast 4th Street, Miami, FL 33131, United States of America",-80.1914435,25.7711487
Silverspot Cinema,Miami,33131,300,Southeast 3rd Street,Florida,"300 Southeast 3rd Street, Miami, FL 33131, United States of America",-80.1884371,25.771394
Olympia Theater at Gusman Center,Miami,33131,174,East Flagler Street,Florida,"174 East Flagler Street, Miami, FL 33131, United States of America",-80.1904762,25.7741039
HistoryMiami Museum,Miami,33130,101,West Flagler Street,Florida,"101 West Flagler Street, Miami, FL 33130, United States of America",-80.1965878455675,25.774462800000002
Miami Dade Cultural Center,Miami,33131,,West Flagler Street,Florida,"West Flagler Street, Miami, FL 33131, United States of America",-80.1964202,25.7744652
YWCA Downtown Playhouse,Miami,33132,,Northeast 2nd Street,Florida,"Northeast 2nd Street, Miami, FL 33132, United States of America",-80.1911182,25.7761859
Museum of the Americas,Miami,33130,,Southwest 8th Court,Florida,"Southwest 8th Court, Miami, FL 33130, United States of America",-80.207946,25.765691
FPL Solar Amphitheater at Bayfront Park,Miami,33132,,Miamarina Parkway Drive,Florida,"Miamarina Parkway Drive, Miami, FL 33132, United States of America",-80.18605870192343,25.7762195
La Casa Del Teatro,Miami,33130,,Southwest 10th Avenue,Florida,"Southwest 10th Avenue, Miami, FL 33130, United States of America",-80.2114179,25.7663106
Manuel Artime Theater,Miami,33130,900,Southwest 1st Street,Florida,"900 Southwest 1st Street, Miami, FL 33130, United States of America",-80.20955340892209,25.7723126
The Black Archives Historic Lyric Theater,Miami,33136,819,Northwest 2nd Avenue,Florida,"819 Northwest 2nd Avenue, Miami, FL 33136, United States of America",-80.19769598553083,25.7822233
American Museum of the Cuban Diaspora,Miami,33129,,Southwest 3rd Avenue,Florida,"Southwest 3rd Avenue, Miami, FL 33129, United States of America",-80.21423250491561,25.7507184
