city,postcode,housenumber,street,state,address2,longitude,latitude
Miami,33131,1109,Brickell Avenue,Florida,"1109 Brickell Avenue, Miami, FL 33131, United States of America",-80.19133949050796,25.76246575
Miami,33131,111,Southeast 14th Street,Florida,"111 Southeast 14th Street, Miami, FL 33131, United States of America",-80.19097568051285,25.760531049999997
Miami,33131,1102,Brickell Bay Drive,Florida,"1102 Brickell Bay Drive, Miami, FL 33131, United States of America",-80.1906291,25.7610141
Miami,33131,1300,South Miami Avenue,Florida,"1300 South Miami Avenue, Miami, FL 33131, United States of America",-80.19382157101691,25.76114105
Miami,33131,1101,Brickell Avenue,Florida,"1101 Brickell Avenue, Miami, FL 33131, United States of America",-80.1904641,25.7629207
Miami,33130,30,Southwest 12th Street,Florida,"30 Southwest 12th Street, Miami, FL 33130, United States of America",-80.19422036449114,25.76224085
Miami,33131,,Southeast 14th Terrace,Florida,"Southeast 14th Terrace, Miami, FL 33131, United States of America",-80.19102708808593,25.75947155
Miami,33131,,Southeast 14th Terrace,Florida,"Southeast 14th Terrace, Miami, FL 33131, United States of America",-80.19210483365822,25.7589607
Miami,33131,,Baywalk,Florida,"Miami, FL 33131, United States of America",-80.18916899562564,25.7602388
Miami,33130,805,South Miami Avenue,Florida,"805 South Miami Avenue, Miami, FL 33130, United States of America",-80.19293893173952,25.76616215
Miami,33129,1500,Southwest 1st Avenue,Florida,"1500 Southwest 1st Avenue, Miami, FL 33129, United States of America",-80.19706203271704,25.75987225
Miami,33130,145,Southwest 11th Street,Florida,"145 Southwest 11th Street, Miami, FL 33130, United States of America",-80.19699715119587,25.76369815
Miami,33131,,Southeast 8th Street,Florida,"Southeast 8th Street, Miami, FL 33131, United States of America",-80.19276519919433,25.7666584
Miami,33130,1001,Southwest 2nd Avenue,Florida,"1001 Southwest 2nd Avenue, Miami, FL 33130, United States of America",-80.19709774824753,25.76401865
Miami,33130,115,Southwest 8th Street,Florida,"115 Southwest 8th Street, Miami, FL 33130, United States of America",-80.19599622164708,25.7668316
Miami,33129,,Southwest 15th Road,Florida,"Southwest 15th Road, Miami, FL 33129, United States of America",-80.19883118216667,25.76107355
Miami,33131,500,Brickell Key Drive,Florida,"500 Brickell Key Drive, Miami, FL 33131, United States of America",-80.18545235327949,25.76511345
Miami,33129,,Southwest 1st Avenue,Florida,"Southwest 1st Avenue, Miami, FL 33129, United States of America",-80.19876485653117,25.7584643
Miami,33131,485,Brickell Avenue,Florida,"485 Brickell Avenue, Miami, FL 33131, United States of America",-80.18958065673056,25.76874475
Miami,33131,400,Riverwalk,Florida,"400 Riverwalk, Miami, FL 33131, United States of America",-80.19052001270089,25.77068445
Miami,33131,,Riverwalk,Florida,"Riverwalk, Miami, FL 33131, United States of America",-80.19178537597554,25.7710071
Miami,33131,270,Biscayne Boulevard,Florida,"270 Biscayne Boulevard, Miami, FL 33131, United States of America",-80.18913,25.7706352
