Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
JW Marriot Miami,Miami,33131,1109,Brickell Avenue,Florida,"1109 Brickell Avenue, Miami, FL 33131, United States of America",-80.19133949050796,25.76246575
JW Marriott Miami,Miami,33131,111,Southeast 14th Street,Florida,"111 Southeast 14th Street, Miami, FL 33131, United States of America",-80.19097568051285,25.760531049999997
Hyatt Centric Brickell Miami,Miami,33131,1102,Brickell Bay Drive,Florida,"1102 Brickell Bay Drive, Miami, FL 33131, United States of America",-80.1906291,25.7610141
SLS Brickell Miami,Miami,33131,1300,South Miami Avenue,Florida,"1300 South Miami Avenue, Miami, FL 33131, United States of America",-80.19382157101691,25.76114105
Hyatt Centric Brickell Miami,Miami,33131,1101,Brickell Avenue,Florida,"1101 Brickell Avenue, Miami, FL 33131, United States of America",-80.1904641,25.7629207
Hampton Inn & Suites by Hilton - Miami/Brickell-Downtown,Miami,33130,30,Southwest 12th Street,Florida,"30 Southwest 12th Street, Miami, FL 33130, United States of America",-80.19422036449114,25.76224085
Fortune House Hotel,Miami,33131,,Southeast 14th Terrace,Florida,"Southeast 14th Terrace, Miami, FL 33131, United States of America",-80.19102708808593,25.75947155
Four Seasons Hotel Miami,Miami,33131,,Southeast 14th Terrace,Florida,"Southeast 14th Terrace, Miami, FL 33131, United States of America",-80.19210483365822,25.7589607
,Miami,33131,,Baywalk,Florida,"Miami, FL 33131, United States of America",-80.18916899562564,25.7602388
SLS LUX Brickell,Miami,33130,805,South Miami Avenue,Florida,"805 South Miami Avenue, Miami, FL 33130, United States of America",-80.19293893173952,25.76616215
Novotel Miami Brickell,Miami,33129,1500,Southwest 1st Avenue,Florida,"1500 Southwest 1st Avenue, Miami, FL 33129, United States of America",-80.19706203271704,25.75987225
"Hotel Indigo Miami Brickell, an IHG Hotel",Miami,33130,145,Southwest 11th Street,Florida,"145 Southwest 11th Street, Miami, FL 33130, United States of America",-80.19699715119587,25.76369815
"EAST, Miami",Miami,33131,,Southeast 8th Street,Florida,"Southeast 8th Street, Miami, FL 33131, United States of America",-80.19276519919433,25.7666584
Aloft Miami Brickell,Miami,33130,1001,Southwest 2nd Avenue,Florida,"1001 Southwest 2nd Avenue, Miami, FL 33130, United States of America",-80.19709774824753,25.76401865
AC Miami Hotel Downtown & Element Miami Downtown,Miami,33130,115,Southwest 8th Street,Florida,"115 Southwest 8th Street, Miami, FL 33130, United States of America",-80.19599622164708,25.7668316
Extended Stay America Hotel Miami - Brickell - Port of Miami,Miami,33129,,Southwest 15th Road,Florida,"Southwest 15th Road, Miami, FL 33129, United States of America",-80.19883118216667,25.76107355
Mandarin Oriental,Miami,33131,500,Brickell Key Drive,Florida,"500 Brickell Key Drive, Miami, FL 33131, United States of America",-80.18545235327949,25.76511345
Homewood Suites by Hilton Miami Downtown/Brickell,Miami,33129,,Southwest 1st Avenue,Florida,"Southwest 1st Avenue, Miami, FL 33129, United States of America",-80.19876485653117,25.7584643
W Miami,Miami,33131,485,Brickell Avenue,Florida,"485 Brickell Avenue, Miami, FL 33131, United States of America",-80.18958065673056,25.76874475
Hyatt Regency Miami,Miami,33131,400,Riverwalk,Florida,"400 Riverwalk, Miami, FL 33131, United States of America",-80.19052001270089,25.77068445
River Park Hotel & Suites Downtown/Convention Center,Miami,33131,,Riverwalk,Florida,"Riverwalk, Miami, FL 33131, United States of America",-80.19178537597554,25.7710071
Kimpton EPIC Hotel,Miami,33131,270,Biscayne Boulevard,Florida,"270 Biscayne Boulevard, Miami, FL 33131, United States of America",-80.18913,25.7706352
JW Marriott Marquis Miami,Miami,33131,,Southeast 3rd Avenue,Florida,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",-80.18917395951813,25.7713057
Courtyard by Marriott Miami Downtown/Brickell Area,Miami,33131,200,Southeast 2nd Avenue,Florida,"200 Southeast 2nd Avenue, Miami, FL 33131, United States of America",-80.19062610419275,25.772338949999998
The Langford,Miami,33131,,Southeast 1st Street,Florida,"Southeast 1st Street, Miami, FL 33131, United States of America",-80.19140536491179,25.773695099999998
InterContinental Miami,Miami,33131,,Chopin Plaza,Florida,"Chopin Plaza, Miami, FL 33131, United States of America",-80.18546872000324,25.772449
ex Zubieta,Miami,33129,,Brickell Avenue,Florida,"Brickell Avenue, Miami, FL 33129, United States of America",-80.2011495,25.7520052
Selina Miami River,Miami,33130,437,Southwest 2nd Street,Florida,"437 Southwest 2nd Street, Miami, FL 33130, United States of America",-80.2017562,25.7721194
Leamington Hotel,Miami,33132,,Northeast 1st Street,Florida,"Northeast 1st Street, Miami, FL 33132, United States of America",-80.18840320000001,25.775483299999998
YVE Hotel Miami,Miami,33132,,Northeast 2nd Street,Florida,"Northeast 2nd Street, Miami, FL 33132, United States of America",-80.18824486617854,25.77607055
YOTELPAD Miami,Miami,33132,227,Northeast 2nd Street,Florida,"227 Northeast 2nd Street, Miami, FL 33132, United States of America",-80.1896463,25.7764014
Hilton Garden Inn Miami Brickell South,Miami,33129,2500,Brickell Avenue,Florida,"2500 Brickell Avenue, Miami, FL 33129, United States of America",-80.20380681596845,25.7511895
YOTEL Miami,Miami,33132,227,Northeast 2nd Street,Florida,"227 Northeast 2nd Street, Miami, FL 33132, United States of America",-80.1897375,25.7764295
Residences at Bayside - by Elite City Stays,Miami,33132,,Northeast 3rd Street,Florida,"Northeast 3rd Street, Miami, FL 33132, United States of America",-80.1886936,25.776957
Yotel Miami,Miami,33132,237;243;227,Northeast 3rd Street,Florida,"237;243;227 Northeast 3rd Street, Miami, FL 33132, United States of America",-80.1897088,25.777435
Holiday Inn Port of Miami Downtown,Miami,33132,,Northeast 4th Street,Florida,"Northeast 4th Street, Miami, FL 33132, United States of America",-80.18878611197962,25.77785965
FANNYLU,Miami,33136,560,Northwest 7th Street,Florida,"560 Northwest 7th Street, Miami, FL 33136, United States of America",-80.2044306,25.7802204
Dunns-Josephine Hotel,Miami,33136,1028,Northwest 3rd Avenue,Florida,"1028 Northwest 3rd Avenue, Miami, FL 33136, United States of America",-80.1999749,25.78419
"The Gabriel Miami Downtown, Curio Collection by Hilton",Miami,33132,1100,Biscayne Boulevard,Florida,"1100 Biscayne Boulevard, Miami, FL 33132, United States of America",-80.1899305,25.785214
