city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 13th St,-80.192101,25.761338
Miami,33131,Southeast 13th Street,"Southeast 13th Street, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SE 13th St & Brickell Av,-80.192501,25.761723
Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 14th Te,-80.192567,25.759549
Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 15th Rd,-80.193283,25.757799
Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 15th Rd,-80.193299,25.757500
Miami,33131,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 11th St,-80.197212,25.763255
Miami,33129,Southwest 13th Street,"Southwest 13th Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 13th St & SW 2nd Av,-80.197962,25.761537
Miami,33129,Southwest 13th Street,"Southwest 13th Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 13th St & SW 3rd Av,-80.198300,25.761360
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 15th Rd,-80.199446,25.761226
Miami,33131,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 2nd Av,-80.197901,25.766190
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1800 Blk,-80.196361,25.755688
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1800 Blk,-80.196211,25.755467
Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 2nd Av,-80.197963,25.767303
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 18th Rd,-80.201151,25.760073
Miami,33130,I 95,"I 95, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 4th Av,-80.200507,25.767244
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1925 Blk,-80.198477,25.753928
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 19th Rd,-80.202628,25.759423
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1990 Blk,-80.198911,25.753932
Miami,33129,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 3rd St,-80.197706,25.770713
Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 5th Av,-80.202592,25.766062
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 20th Rd,-80.203267,25.758621
Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 5th Av,-80.202130,25.767182
Miami,33129,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 3rd St,-80.197497,25.771262
Miami,33131,Southeast 1st Street,"Southeast 1st Street, Miami, FL 33131, United States of America",Broward County Transit;City of Miami;Miami-Dade Transit,bus_stop,SE 1st St & SE 1st Av,-80.191460,25.773317
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 2127 Blk,-80.200240,25.752723
Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SW 1st Av & SW 1st St,-80.195621,25.772987
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 21st Rd,-80.204374,25.758189
Miami,33130,Southwest 2nd Street,"Southwest 2nd Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 2nd St & SW 2nd Av,-80.197895,25.772311
Miami,33131,Southeast 1st Street,"Southeast 1st Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SE 1st St & SE 3rd Av,-80.188723,25.773402
Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 1st St & SW 1st Ct,-80.196643,25.773152
Miami,33131,Southeast 1st Avenue,"Southeast 1st Avenue, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SE 1st Av & E Flagler St,-80.191856,25.774053
Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SW 1st Av & SW 1st St,-80.195661,25.773553
Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 22nd Rd,-80.204885,25.757500
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 2451 Blk,-80.201205,25.752384
Miami,33131,West Flagler Street,"West Flagler Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Downtown Terminal,-80.195913,25.773776
Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Downtown Terminal,-80.195688,25.773911
Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 7th Av,-80.205386,25.765983
Miami,33128,Northwest 1st Avenue,"Northwest 1st Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 1st Av & W Flagler St,-80.195658,25.774446
Miami,33132,Northeast 1st Avenue,"Northeast 1st Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 1st Av & NE 1st St,-80.191908,25.775061
Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 2451 Blk,-80.201678,25.751715
Miami,33131,West Flagler Street,"West Flagler Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & W 2nd Avenue,-80.197378,25.774125
