name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Brickell Avenue & Southeast 13th Street,Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 13th St,-80.1921011,25.7613379
Southeast 13th Street & Brickell Avenue,Miami,33131,Southeast 13th Street,"Southeast 13th Street, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SE 13th St & Brickell Av,-80.1925005,25.7617231
Brickell Avenue & Southeast 14th Terrace,Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 14th Te,-80.1925671,25.7595492
Brickell Avenue & Southeast 15th Road,Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 15th Rd,-80.1932826,25.757799
Brickell Avenue & Southeast 15th Road,Miami,33131,Brickell Avenue,"Brickell Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 15th Rd,-80.1932987,25.7575001
Southwest 2nd Avenue & Southwest 11th Street,Miami,33131,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33131, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 11th St,-80.1972124,25.7632553
Southwest 13th Street & Southwest 2nd Avenue,Miami,33129,Southwest 13th Street,"Southwest 13th Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 13th St & SW 2nd Av,-80.1979617,25.7615366
Southwest 13th Street & Southwest 3rd Avenue,Miami,33129,Southwest 13th Street,"Southwest 13th Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 13th St & SW 3rd Av,-80.1982997,25.7613598
Southwest 3rd Avenue & Southwest 15th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 15th Rd,-80.199446,25.761226
Southwest 8th Street & Southwest 2nd Avenue,Miami,33131,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 2nd Av,-80.1979011,25.7661904
Brickell Avenue & 1800 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1800 Blk,-80.1963614,25.7556877
Brickell Avenue & 1800 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1800 Blk,-80.1962109,25.7554666
Southwest 7th Street & Southwest 2nd Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 2nd Av,-80.1979626,25.767303
Southwest 3rd Avenue & Southwest 18th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 18th Rd,-80.2011513,25.7600732
Southwest 7th Street & Southwest 4th Avenue,Miami,33130,I 95,"I 95, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 4th Av,-80.2005065,25.7672441
Brickell Avenue & 1925 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1925 Blk,-80.1984767,25.7539284
Southwest 3rd Avenue & Southwest 19th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 19th Rd,-80.2026275,25.7594225
Brickell Avenue & 1990 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 1990 Blk,-80.1989105,25.753932
Southwest 2nd Avenue & Southwest 3rd Street,Miami,33129,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 3rd St,-80.1977056,25.7707125
Southwest 8th Street & Southwest 5th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 5th Av,-80.2025921,25.7660618
Southwest 3rd Avenue & Southwest 20th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 20th Rd,-80.2032673,25.7586206
Southwest 7th Street & Southwest 5th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 5th Av,-80.2021303,25.7671821
Southwest 2nd Avenue & Southwest 3rd Street,Miami,33129,Southwest 2nd Avenue,"Southwest 2nd Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 2nd Av & SW 3rd St,-80.197497,25.7712617
Southeast 1st Street & Southeast 1st Avenue,Miami,33131,Southeast 1st Street,"Southeast 1st Street, Miami, FL 33131, United States of America",Broward County Transit;City of Miami;Miami-Dade Transit,bus_stop,SE 1st St & SE 1st Av,-80.1914598,25.7733174
Brickell Avenue & 2127 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 2127 Blk,-80.2002396,25.7527229
Southwest 1st Avenue & Southwest 1st Street,Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SW 1st Av & SW 1st St,-80.1956208,25.7729874
Southwest 3rd Avenue & Southwest 21st Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 21st Rd,-80.204374,25.758189
Southwest 2nd Street & Southwest 2nd Avenue,Miami,33130,Southwest 2nd Street,"Southwest 2nd Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 2nd St & SW 2nd Av,-80.1978951,25.7723107
Southeast 1st Street & Southeast 3rd Avenue,Miami,33131,Southeast 1st Street,"Southeast 1st Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,SE 1st St & SE 3rd Av,-80.1887232,25.7734015
Southwest 1st Street & Southwest 1st Court,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 1st St & SW 1st Ct,-80.1966427,25.7731524
Southeast 1st Avenue & East Flagler Street,Miami,33131,Southeast 1st Avenue,"Southeast 1st Avenue, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SE 1st Av & E Flagler St,-80.1918563,25.7740527
Southwest 1st Avenue & Southwest 1st Street,Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,SW 1st Av & SW 1st St,-80.1956608,25.7735528
Southwest 3rd Avenue & Southwest 22nd Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 22nd Rd,-80.204885,25.7575
Brickell Avenue & 2451 Block,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & 2451 Blk,-80.2012051,25.752384
Downtown Metrobus Terminal,Miami,33131,West Flagler Street,"West Flagler Street, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Downtown Terminal,-80.1959132,25.773776
Downtown Metrobus Terminal,Miami,33131,Southwest 1st Avenue,"Southwest 1st Avenue, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Downtown Terminal,-80.1956879,25.7739106
